rank,commodity,origin_province,destination_province,priority_score,price_gap_score,origin_surplus_score,destination_deficit_score,destination_model_score,distance_km,top_reasons,review_action,origin_price,destination_price,origin_surplus_ton,destination_surplus_ton,origin_region,destination_region
75,Beras Medium,Sumatera Utara,Riau,37.35,0.027204145393583783,0.5079618854275184,0.3072461520480734,0.16739024668454325,461.19820326573296,selisih harga Rp357/kg; asal surplus proxy 0.81 juta ton; tujuan defisit proxy 0.41 juta ton; jarak relatif dekat,review if capacity allows,14022.0,14379.0,813624.3,-406677.9,Sumatra,Sumatra
76,Beras Medium,Jawa Timur,Jambi,37.3,0.03352891869237217,0.9443950263692544,0.0802251935820565,0.04111311041255655,1191.2990347814584,selisih harga Rp440/kg; asal surplus proxy 2.14 juta ton; tujuan defisit proxy 0.11 juta ton; perlu kajian logistik lintas wilayah,review if capacity allows,12742.0,13182.0,2143773.7,-107049.40000000002,Jawa,Sumatra
77,Beras Medium,Jawa Tengah,Papua Barat Daya,37.3,0.16985445401203994,0.8870828620976628,0.0649577215536571,0.11107622475189738,2407.7362573183805,"selisih harga Rp2,229/kg; asal surplus proxy 1.97 juta ton; tujuan defisit proxy 0.04 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,13154.0,15383.0,1972195.3,-42799.5,Jawa,Maluku-Papua
78,Beras Medium,Jawa Barat,Papua Barat,37.16,0.3272879676903147,0.6878096171913441,0.0904692796939242,0.16332408494715328,3009.003040111269,"selisih harga Rp4,295/kg; asal surplus proxy 1.35 juta ton; tujuan defisit proxy 0.03 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,12978.0,17273.0,1350069.5,-27113.4,Jawa,Maluku-Papua
79,Beras Medium,Jawa Barat,Kepulauan Riau,37.15,0.08222205288424903,0.6878096171913441,0.1469170788316764,0.1149903504005898,938.6037569580257,"selisih harga Rp1,079/kg; asal surplus proxy 1.35 juta ton; tujuan defisit proxy 0.18 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,12978.0,14057.0,1350069.5,-181142.9,Jawa,Sumatra
80,Beras Medium,Lampung,Kalimantan Timur,36.83,0.19934466204374,0.4826253642615985,0.1985564887138308,0.22078364783007545,1429.0474981641255,"selisih harga Rp2,616/kg; asal surplus proxy 0.72 juta ton; tujuan defisit proxy 0.22 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,13111.0,15727.0,724813.4,-218981.5,Sumatra,Kalimantan
81,Beras Medium,Jawa Tengah,Banten,36.7,0.0,0.8870828620976628,0.0801696340807018,0.041802139376786424,481.5102958554509,selisih harga Rp-381/kg; asal surplus proxy 1.97 juta ton; tujuan defisit proxy 0.11 juta ton; jarak relatif dekat,review if capacity allows,13154.0,12773.0,1972195.3,-109688.90000000002,Jawa,Jawa
82,Beras Medium,Jawa Tengah,Kepulauan Bangka Belitung,36.49,0.03566257715461404,0.8870828620976628,0.0617702103748577,0.03934247629993162,721.1996070641461,selisih harga Rp468/kg; asal surplus proxy 1.97 juta ton; tujuan defisit proxy 0.08 juta ton; jarak relatif dekat,review if capacity allows,13154.0,13622.0,1972195.3,-84281.9,Jawa,Sumatra
83,Beras Medium,Sumatera Selatan,Kepulauan Riau,36.15,0.12801950773451193,0.5328579413737191,0.1469170788316764,0.1149903504005898,436.1355237535852,"selisih harga Rp1,680/kg; asal surplus proxy 0.88 juta ton; tujuan defisit proxy 0.18 juta ton; jarak relatif dekat",review if capacity allows,12377.0,14057.0,877865.3,-181142.9,Sumatra,Sumatra
84,Beras Medium,Sulawesi Selatan,Banten,36.14,0.0,0.997083243539672,0.0801696340807018,0.041802139376786424,1473.435890634009,selisih harga Rp-146/kg; asal surplus proxy 2.31 juta ton; tujuan defisit proxy 0.11 juta ton; perlu kajian logistik lintas wilayah,review if capacity allows,12919.0,12773.0,2311564.2,-109688.90000000002,Sulawesi,Jawa
85,Beras Medium,Kalimantan Selatan,Kalimantan Timur,35.96,0.19743960984530975,0.3318315692012287,0.1985564887138308,0.22078364783007545,423.3795949314837,"selisih harga Rp2,591/kg; asal surplus proxy 0.27 juta ton; tujuan defisit proxy 0.22 juta ton; jarak relatif dekat",review if capacity allows,13136.0,15727.0,265584.8,-218981.5,Kalimantan,Kalimantan
86,Beras Medium,Nusa Tenggara Barat,Kalimantan Timur,35.85,0.19081002819477252,0.3988510000601896,0.1985564887138308,0.22078364783007545,905.6679800306154,"selisih harga Rp2,504/kg; asal surplus proxy 0.46 juta ton; tujuan defisit proxy 0.22 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,13223.0,15727.0,461050.5,-218981.5,Bali-Nusa,Kalimantan
87,Beras Medium,Sulawesi Selatan,Jambi,35.83,0.020041149127486092,0.997083243539672,0.0802251935820565,0.04111311041255655,1799.3256992898384,selisih harga Rp263/kg; asal surplus proxy 2.31 juta ton; tujuan defisit proxy 0.11 juta ton; perlu kajian logistik lintas wilayah,review if capacity allows,12919.0,13182.0,2311564.2,-107049.40000000002,Sulawesi,Sumatra
88,Beras Medium,Jawa Tengah,Papua,35.78,0.22311971348014936,0.8870828620976628,0.0513288242072671,0.13608247786583189,3386.3049785678218,"selisih harga Rp2,928/kg; asal surplus proxy 1.97 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,13154.0,16082.0,1972195.3,10647.0,Jawa,Maluku-Papua
89,Beras Medium,Jawa Timur,Papua Selatan,35.67,0.17739846071782367,0.9443950263692544,0.0295779743313416,0.11706474129046035,3048.071581345132,"selisih harga Rp2,328/kg; asal surplus proxy 2.14 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,12742.0,15070.0,2143773.7,156135.8,Jawa,Maluku-Papua
90,Beras Medium,Jawa Tengah,Jambi,34.88,0.0021336584622418655,0.8870828620976628,0.0802251935820565,0.04111311041255655,963.1368281865088,selisih harga Rp28/kg; asal surplus proxy 1.97 juta ton; tujuan defisit proxy 0.11 juta ton; perlu kajian logistik lintas wilayah,review if capacity allows,13154.0,13182.0,1972195.3,-107049.40000000002,Jawa,Sumatra
91,Beras Medium,Sulawesi Tengah,Kalimantan Timur,34.52,0.14760344433437475,0.3419196181380747,0.1985564887138308,0.22078364783007545,305.6802023936493,"selisih harga Rp1,937/kg; asal surplus proxy 0.30 juta ton; tujuan defisit proxy 0.22 juta ton; jarak relatif dekat",review if capacity allows,13790.0,15727.0,297374.7,-218981.5,Sulawesi,Kalimantan
92,Beras Medium,Jawa Barat,Maluku Utara,34.24,0.21344204831212374,0.6878096171913441,0.1067661792442474,0.12277461213541097,2354.6690295988765,"selisih harga Rp2,801/kg; asal surplus proxy 1.35 juta ton; tujuan defisit proxy 0.10 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,12978.0,15779.0,1350069.5,-96158.9,Jawa,Maluku-Papua
93,Beras Medium,Jawa Barat,Maluku,33.94,0.18059894841118646,0.6878096171913441,0.1061216753298679,0.13089288264684626,2304.8756289381367,"selisih harga Rp2,370/kg; asal surplus proxy 1.35 juta ton; tujuan defisit proxy 0.10 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,12978.0,15348.0,1350069.5,-95149.3,Jawa,Maluku-Papua
94,Beras Medium,Sumatera Selatan,Papua Tengah,33.79,0.32340166120551705,0.5328579413737191,0.1360393467429249,0.2090788030839928,3412.997994856254,"selisih harga Rp4,244/kg; asal surplus proxy 0.88 juta ton; tujuan defisit proxy 0.09 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,12377.0,16621.0,877865.3,-93722.0,Sumatra,Maluku-Papua
95,Beras Medium,Jawa Barat,Kalimantan Utara,33.59,0.1768650461022632,0.6878096171913441,0.0427089548164283,0.10523225965505272,1586.9561494360728,"selisih harga Rp2,321/kg; asal surplus proxy 1.35 juta ton; tujuan defisit proxy 0.01 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,12978.0,15299.0,1350069.5,-10922.5,Jawa,Kalimantan
96,Beras Medium,Sulawesi Barat,Kalimantan Timur,33.19,0.17214051665015623,0.2705625321672542,0.1985564887138308,0.22078364783007545,310.09836981833416,"selisih harga Rp2,259/kg; asal surplus proxy 0.08 juta ton; tujuan defisit proxy 0.22 juta ton; jarak relatif dekat",review if capacity allows,13468.0,15727.0,78155.0,-218981.5,Sulawesi,Kalimantan
97,Beras Medium,Aceh,Riau,32.87,0.06835327287967691,0.3750789476478248,0.3072461520480734,0.16739024668454325,881.5242788108964,selisih harga Rp897/kg; asal surplus proxy 0.41 juta ton; tujuan defisit proxy 0.41 juta ton; jarak relatif dekat,review if capacity allows,13482.0,14379.0,405112.0,-406677.9,Sumatra,Sumatra
98,Beras Medium,Sumatera Selatan,Papua Barat,32.86,0.37308542254057764,0.5328579413737191,0.0904692796939242,0.16332408494715328,3264.545596666539,"selisih harga Rp4,896/kg; asal surplus proxy 0.88 juta ton; tujuan defisit proxy 0.03 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,12377.0,17273.0,877865.3,-27113.4,Sumatra,Maluku-Papua
99,Beras Medium,Gorontalo,Kalimantan Timur,32.26,0.18684751962203763,0.2690205710637521,0.1985564887138308,0.22078364783007545,667.2505101671416,"selisih harga Rp2,452/kg; asal surplus proxy 0.06 juta ton; tujuan defisit proxy 0.22 juta ton; jarak relatif dekat",review if capacity allows,13275.0,15727.0,60899.4,-218981.5,Sulawesi,Kalimantan
100,Beras Medium,Jawa Barat,Kalimantan Tengah,32.24,0.11826564047854911,0.6878096171913441,0.0352459273032908,0.05967752904758533,872.944363983927,"selisih harga Rp1,552/kg; asal surplus proxy 1.35 juta ton; tujuan defisit proxy 0.03 juta ton; jarak relatif dekat",review if capacity allows,12978.0,14530.0,1350069.5,-29068.60000000001,Jawa,Kalimantan
101,Beras Medium,Sumatera Utara,Kalimantan Timur,31.56,0.12992455993294216,0.5079618854275184,0.1985564887138308,0.22078364783007545,2103.444097028446,"selisih harga Rp1,705/kg; asal surplus proxy 0.81 juta ton; tujuan defisit proxy 0.22 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,14022.0,15727.0,813624.3,-218981.5,Sumatra,Kalimantan
102,Beras Medium,Nusa Tenggara Barat,Papua Tengah,31.43,0.2589346948106378,0.3988510000601896,0.1360393467429249,0.2090788030839928,2219.627692059665,"selisih harga Rp3,398/kg; asal surplus proxy 0.46 juta ton; tujuan defisit proxy 0.09 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,13223.0,16621.0,461050.5,-93722.0,Bali-Nusa,Maluku-Papua
103,Beras Medium,Jawa Barat,Banten,31.18,0.0,0.6878096171913441,0.0801696340807018,0.041802139376786424,183.66432738256137,selisih harga Rp-205/kg; asal surplus proxy 1.35 juta ton; tujuan defisit proxy 0.11 juta ton; jarak relatif dekat,review if capacity allows,12978.0,12773.0,1350069.5,-109688.90000000002,Jawa,Jawa
104,Beras Medium,Jawa Tengah,Papua Selatan,31.14,0.14600320048769336,0.8870828620976628,0.0295779743313416,0.11706474129046035,3306.659510599349,"selisih harga Rp1,916/kg; asal surplus proxy 1.97 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,13154.0,15070.0,1972195.3,156135.8,Jawa,Maluku-Papua
105,Beras Medium,Sumatera Barat,Riau,31.03,0.0,0.326940641267158,0.3072461520480734,0.16739024668454325,203.2622785081723,selisih harga Rp-801/kg; asal surplus proxy 0.30 juta ton; tujuan defisit proxy 0.41 juta ton; jarak relatif dekat,review if capacity allows,15180.0,14379.0,295616.8,-406677.9,Sumatra,Sumatra
106,Beras Medium,Jawa Barat,Kepulauan Bangka Belitung,31.01,0.049074144631562906,0.6878096171913441,0.0617702103748577,0.03934247629993162,556.8979415622296,selisih harga Rp644/kg; asal surplus proxy 1.35 juta ton; tujuan defisit proxy 0.08 juta ton; jarak relatif dekat,review if capacity allows,12978.0,13622.0,1350069.5,-84281.9,Jawa,Sumatra
107,Beras Medium,Lampung,Kepulauan Riau,30.64,0.07208717518860017,0.4826253642615985,0.1469170788316764,0.1149903504005898,714.1411801492061,selisih harga Rp946/kg; asal surplus proxy 0.72 juta ton; tujuan defisit proxy 0.18 juta ton; jarak relatif dekat,review if capacity allows,13111.0,14057.0,724813.4,-181142.9,Sumatra,Sumatra
108,Beras Medium,Sumatera Selatan,Kalimantan Utara,30.39,0.2226625009525261,0.5328579413737191,0.0427089548164283,0.10523225965505272,1588.693361936046,"selisih harga Rp2,922/kg; asal surplus proxy 0.88 juta ton; tujuan defisit proxy 0.01 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,12377.0,15299.0,877865.3,-10922.5,Sumatra,Kalimantan
109,Beras Medium,Papua Selatan,DKI Jakarta,30.36,0.0,0.2812746270170229,0.629516968340428,0.31089021247728055,3707.461403879095,"selisih harga Rp-2,153/kg; asal surplus proxy 0.16 juta ton; tujuan defisit proxy 0.87 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,15070.0,12917.0,156135.8,-867536.4,Maluku-Papua,Jawa
110,Beras Medium,Sumatera Selatan,Maluku Utara,30.2,0.25923950316238664,0.5328579413737191,0.1067661792442474,0.12277461213541097,2549.191949022215,"selisih harga Rp3,402/kg; asal surplus proxy 0.88 juta ton; tujuan defisit proxy 0.10 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,12377.0,15779.0,877865.3,-96158.9,Sumatra,Maluku-Papua
111,Beras Medium,Sulawesi Tenggara,Kalimantan Timur,30.18,0.13152480377962356,0.288325437421205,0.1985564887138308,0.22078364783007545,710.7493292546222,"selisih harga Rp1,726/kg; asal surplus proxy 0.13 juta ton; tujuan defisit proxy 0.22 juta ton; jarak relatif dekat",review if capacity allows,14001.0,15727.0,132556.0,-218981.5,Sulawesi,Kalimantan
112,Beras Medium,Gorontalo,Papua Tengah,30.16,0.2549721862379029,0.2690205710637521,0.1360393467429249,0.2090788030839928,1448.9925789040583,"selisih harga Rp3,346/kg; asal surplus proxy 0.06 juta ton; tujuan defisit proxy 0.09 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,13275.0,16621.0,60899.4,-93722.0,Sulawesi,Maluku-Papua
113,Beras Medium,Nusa Tenggara Barat,Riau,30.1,0.08808961365541416,0.3988510000601896,0.3072461520480734,0.16739024668454325,1914.0681686240944,"selisih harga Rp1,156/kg; asal surplus proxy 0.46 juta ton; tujuan defisit proxy 0.41 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,13223.0,14379.0,461050.5,-406677.9,Bali-Nusa,Sumatra
114,Beras Medium,Nusa Tenggara Barat,Papua Barat,30.1,0.3086184561456984,0.3988510000601896,0.0904692796939242,0.16332408494715328,2164.021298559442,"selisih harga Rp4,050/kg; asal surplus proxy 0.46 juta ton; tujuan defisit proxy 0.03 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,13223.0,17273.0,461050.5,-27113.4,Bali-Nusa,Maluku-Papua
115,Beras Medium,Kalimantan Selatan,Riau,29.83,0.09471919530595138,0.3318315692012287,0.3072461520480734,0.16739024668454325,1521.2173438187208,"selisih harga Rp1,243/kg; asal surplus proxy 0.27 juta ton; tujuan defisit proxy 0.41 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,13136.0,14379.0,265584.8,-406677.9,Kalimantan,Sumatra
116,Beras Medium,Jawa Barat,Papua Barat Daya,29.81,0.1832660214889888,0.6878096171913441,0.0649577215536571,0.11107622475189738,2705.9423292801557,"selisih harga Rp2,405/kg; asal surplus proxy 1.35 juta ton; tujuan defisit proxy 0.04 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,12978.0,15383.0,1350069.5,-42799.5,Jawa,Maluku-Papua
117,Beras Medium,Lampung,Papua Tengah,29.73,0.26746932865960527,0.4826253642615985,0.1360393467429249,0.2090788030839928,3359.1160091414263,"selisih harga Rp3,510/kg; asal surplus proxy 0.72 juta ton; tujuan defisit proxy 0.09 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,13111.0,16621.0,724813.4,-93722.0,Sumatra,Maluku-Papua
118,Beras Medium,Jawa Barat,Jambi,29.67,0.015545225939190733,0.6878096171913441,0.0802251935820565,0.04111311041255655,737.5010565420804,selisih harga Rp204/kg; asal surplus proxy 1.35 juta ton; tujuan defisit proxy 0.11 juta ton; jarak relatif dekat,review if capacity allows,12978.0,13182.0,1350069.5,-107049.40000000002,Jawa,Sumatra
119,Beras Medium,Gorontalo,Papua Barat,29.53,0.3046559475729635,0.2690205710637521,0.0904692796939242,0.16332408494715328,1232.975904617303,"selisih harga Rp3,998/kg; asal surplus proxy 0.06 juta ton; tujuan defisit proxy 0.03 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,13275.0,17273.0,60899.4,-27113.4,Sulawesi,Maluku-Papua
120,Beras Medium,Sulawesi Tengah,Papua Tengah,29.5,0.21572811095024003,0.3419196181380747,0.1360393467429249,0.2090788030839928,1758.045053772113,"selisih harga Rp2,831/kg; asal surplus proxy 0.30 juta ton; tujuan defisit proxy 0.09 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,13790.0,16621.0,297374.7,-93722.0,Sulawesi,Maluku-Papua
121,Beras Medium,Sumatera Selatan,Kepulauan Bangka Belitung,29.47,0.0948715994818258,0.5328579413737191,0.0617702103748577,0.03934247629993162,177.8573042360283,"selisih harga Rp1,245/kg; asal surplus proxy 0.88 juta ton; tujuan defisit proxy 0.08 juta ton; jarak relatif dekat",review if capacity allows,12377.0,13622.0,877865.3,-84281.9,Sumatra,Sumatra
122,Beras Medium,Sumatera Selatan,Maluku,29.46,0.22639640326144936,0.5328579413737191,0.1061216753298679,0.13089288264684626,2600.8674148254545,"selisih harga Rp2,971/kg; asal surplus proxy 0.88 juta ton; tujuan defisit proxy 0.10 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,12377.0,15348.0,877865.3,-95149.3,Sumatra,Maluku-Papua
123,Beras Medium,Bali,Kalimantan Timur,29.23,0.13373466432980263,0.2854053918363151,0.1985564887138308,0.22078364783007545,931.10289292511,"selisih harga Rp1,755/kg; asal surplus proxy 0.12 juta ton; tujuan defisit proxy 0.22 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,13972.0,15727.0,120151.09999999998,-218981.5,Bali-Nusa,Kalimantan
124,Beras Medium,Kalimantan Selatan,Papua Tengah,29.0,0.26556427646117503,0.3318315692012287,0.1360393467429249,0.2090788030839928,2321.096395809371,"selisih harga Rp3,485/kg; asal surplus proxy 0.27 juta ton; tujuan defisit proxy 0.09 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,13136.0,16621.0,265584.8,-93722.0,Kalimantan,Maluku-Papua
125,Beras Medium,Sumatera Selatan,Jambi,28.82,0.06134268078945363,0.5328579413737191,0.0802251935820565,0.04111311041255655,199.6779105377532,selisih harga Rp805/kg; asal surplus proxy 0.88 juta ton; tujuan defisit proxy 0.11 juta ton; jarak relatif dekat,review if capacity allows,12377.0,13182.0,877865.3,-107049.40000000002,Sumatra,Sumatra
126,Beras Medium,Sulawesi Tengah,Papua Barat,28.71,0.2654118722853006,0.3419196181380747,0.0904692796939242,0.16332408494715328,1577.6751886175052,"selisih harga Rp3,483/kg; asal surplus proxy 0.30 juta ton; tujuan defisit proxy 0.03 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,13790.0,17273.0,297374.7,-27113.4,Sulawesi,Maluku-Papua
127,Beras Medium,Lampung,Papua Barat,28.69,0.31715308999466585,0.4826253642615985,0.0904692796939242,0.16332408494715328,3235.9815960582623,"selisih harga Rp4,162/kg; asal surplus proxy 0.72 juta ton; tujuan defisit proxy 0.03 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,13111.0,17273.0,724813.4,-27113.4,Sumatra,Maluku-Papua
128,Beras Medium,Sumatera Selatan,Kalimantan Tengah,28.4,0.164063095328812,0.5328579413737191,0.0352459273032908,0.05967752904758533,1021.176753101376,"selisih harga Rp2,153/kg; asal surplus proxy 0.88 juta ton; tujuan defisit proxy 0.03 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,12377.0,14530.0,877865.3,-29068.60000000001,Sumatra,Kalimantan
129,Beras Medium,Sumatera Utara,Kepulauan Riau,28.34,0.0026670730778023317,0.5079618854275184,0.1469170788316764,0.1149903504005898,707.4607830030961,selisih harga Rp35/kg; asal surplus proxy 0.81 juta ton; tujuan defisit proxy 0.18 juta ton; jarak relatif dekat,review if capacity allows,14022.0,14057.0,813624.3,-181142.9,Sumatra,Sumatra
130,Beras Medium,Sulawesi Tenggara,Papua Tengah,28.3,0.19964947039548883,0.288325437421205,0.1360393467429249,0.2090788030839928,1443.1330578806983,"selisih harga Rp2,620/kg; asal surplus proxy 0.13 juta ton; tujuan defisit proxy 0.09 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,14001.0,16621.0,132556.0,-93722.0,Sulawesi,Maluku-Papua
131,Beras Medium,Jawa Barat,Papua,28.24,0.23653128095709822,0.6878096171913441,0.0513288242072671,0.13608247786583189,3693.59651231803,"selisih harga Rp3,104/kg; asal surplus proxy 1.35 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,12978.0,16082.0,1350069.5,10647.0,Jawa,Maluku-Papua
132,Beras Medium,Kalimantan Selatan,Papua Barat,28.04,0.3152480377962356,0.3318315692012287,0.0904692796939242,0.16332408494715328,2180.5688380317315,"selisih harga Rp4,137/kg; asal surplus proxy 0.27 juta ton; tujuan defisit proxy 0.03 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,13136.0,17273.0,265584.8,-27113.4,Kalimantan,Maluku-Papua
133,Beras Medium,Sulawesi Barat,Papua Tengah,27.81,0.24026518326602148,0.2705625321672542,0.1360393467429249,0.2090788030839928,1845.9029758710735,"selisih harga Rp3,153/kg; asal surplus proxy 0.08 juta ton; tujuan defisit proxy 0.09 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,13468.0,16621.0,78155.0,-93722.0,Sulawesi,Maluku-Papua
134,Beras Medium,Sulawesi Tenggara,Papua Barat,27.22,0.24933323173054942,0.288325437421205,0.0904692796939242,0.16332408494715328,1329.3558952866329,"selisih harga Rp3,272/kg; asal surplus proxy 0.13 juta ton; tujuan defisit proxy 0.03 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,14001.0,17273.0,132556.0,-27113.4,Sulawesi,Maluku-Papua
135,Beras Medium,Papua Selatan,Papua Tengah,27.16,0.1181894383906119,0.2812746270170229,0.1360393467429249,0.2090788030839928,786.6953872514698,"selisih harga Rp1,551/kg; asal surplus proxy 0.16 juta ton; tujuan defisit proxy 0.09 juta ton; jarak relatif dekat",review if capacity allows,15070.0,16621.0,156135.8,-93722.0,Maluku-Papua,Maluku-Papua
136,Beras Medium,Aceh,Kalimantan Timur,27.11,0.17107368741903528,0.3750789476478248,0.1985564887138308,0.22078364783007545,2515.487481036446,"selisih harga Rp2,245/kg; asal surplus proxy 0.41 juta ton; tujuan defisit proxy 0.22 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,13482.0,15727.0,405112.0,-218981.5,Sumatra,Kalimantan
137,Beras Medium,Gorontalo,Maluku Utara,27.03,0.19081002819477252,0.2690205710637521,0.1067661792442474,0.12277461213541097,481.13307608958553,"selisih harga Rp2,504/kg; asal surplus proxy 0.06 juta ton; tujuan defisit proxy 0.10 juta ton; jarak relatif dekat",review if capacity allows,13275.0,15779.0,60899.4,-96158.9,Sulawesi,Maluku-Papua
138,Beras Medium,Nusa Tenggara Barat,Maluku,26.97,0.16192943686657013,0.3988510000601896,0.1061216753298679,0.13089288264684626,1439.0960555734875,"selisih harga Rp2,125/kg; asal surplus proxy 0.46 juta ton; tujuan defisit proxy 0.10 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,13223.0,15348.0,461050.5,-95149.3,Bali-Nusa,Maluku-Papua
139,Beras Medium,Sulawesi Barat,Papua Barat,26.88,0.28994894460108206,0.2705625321672542,0.0904692796939242,0.16332408494715328,1698.0490156095063,"selisih harga Rp3,805/kg; asal surplus proxy 0.08 juta ton; tujuan defisit proxy 0.03 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,13468.0,17273.0,78155.0,-27113.4,Sulawesi,Maluku-Papua
140,Beras Medium,Nusa Tenggara Barat,Maluku Utara,26.67,0.19477253676750744,0.3988510000601896,0.1067661792442474,0.12277461213541097,1625.5469420408533,"selisih harga Rp2,556/kg; asal surplus proxy 0.46 juta ton; tujuan defisit proxy 0.10 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,13223.0,15779.0,461050.5,-96158.9,Bali-Nusa,Maluku-Papua
141,Beras Medium,Sumatera Selatan,Banten,26.42,0.030176026823134954,0.5328579413737191,0.0801696340807018,0.041802139376786424,380.6104598463252,selisih harga Rp396/kg; asal surplus proxy 0.88 juta ton; tujuan defisit proxy 0.11 juta ton; jarak relatif dekat,review if capacity allows,12377.0,12773.0,877865.3,-109688.90000000002,Sumatra,Jawa
142,Beras Medium,Sulawesi Tengah,Maluku Utara,26.08,0.15156595290710964,0.3419196181380747,0.1067661792442474,0.12277461213541097,855.9269303093241,"selisih harga Rp1,989/kg; asal surplus proxy 0.30 juta ton; tujuan defisit proxy 0.10 juta ton; jarak relatif dekat",review if capacity allows,13790.0,15779.0,297374.7,-96158.9,Sulawesi,Maluku-Papua
143,Beras Medium,Lampung,Maluku Utara,25.9,0.20330717061647488,0.4826253642615985,0.1067661792442474,0.12277461213541097,2551.397686505524,"selisih harga Rp2,668/kg; asal surplus proxy 0.72 juta ton; tujuan defisit proxy 0.10 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,13111.0,15779.0,724813.4,-96158.9,Sumatra,Maluku-Papua
144,Beras Medium,Lampung,Kalimantan Utara,25.7,0.16673016840661434,0.4826253642615985,0.0427089548164283,0.10523225965505272,1679.6347883785056,"selisih harga Rp2,188/kg; asal surplus proxy 0.72 juta ton; tujuan defisit proxy 0.01 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,13111.0,15299.0,724813.4,-10922.5,Sumatra,Kalimantan
145,Beras Medium,Sulawesi Tengah,Riau,25.55,0.044883029795016384,0.3419196181380747,0.3072461520480734,0.16739024668454325,2054.1389515945725,selisih harga Rp589/kg; asal surplus proxy 0.30 juta ton; tujuan defisit proxy 0.41 juta ton; perlu kajian logistik lintas wilayah,review if capacity allows,13790.0,14379.0,297374.7,-406677.9,Sulawesi,Sumatra
146,Beras Medium,Sumatera Selatan,Papua Barat Daya,25.54,0.2290634763392517,0.5328579413737191,0.0649577215536571,0.11107622475189738,2953.1069373801047,"selisih harga Rp3,006/kg; asal surplus proxy 0.88 juta ton; tujuan defisit proxy 0.04 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,12377.0,15383.0,877865.3,-42799.5,Sumatra,Maluku-Papua
147,Beras Medium,Lampung,Maluku,25.4,0.1704640707155376,0.4826253642615985,0.1061216753298679,0.13089288264684626,2546.594150217718,"selisih harga Rp2,237/kg; asal surplus proxy 0.72 juta ton; tujuan defisit proxy 0.10 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,13111.0,15348.0,724813.4,-95149.3,Sumatra,Maluku-Papua
148,Beras Medium,Gorontalo,Maluku,25.39,0.15796692829383524,0.2690205710637521,0.1061216753298679,0.13089288264684626,738.92415643604,"selisih harga Rp2,073/kg; asal surplus proxy 0.06 juta ton; tujuan defisit proxy 0.10 juta ton; jarak relatif dekat",review if capacity allows,13275.0,15348.0,60899.4,-95149.3,Sulawesi,Maluku-Papua
149,Beras Medium,Kalimantan Selatan,Maluku Utara,25.26,0.20140211841804465,0.3318315692012287,0.1067661792442474,0.12277461213541097,1493.1862469667292,"selisih harga Rp2,643/kg; asal surplus proxy 0.27 juta ton; tujuan defisit proxy 0.10 juta ton; perlu kajian logistik lintas wilayah",review if capacity allows,13136.0,15779.0,265584.8,-96158.9,Kalimantan,Maluku-Papua
